Time Limit,Total,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
Up to 10 seconds,11,11,10,6,8,12,12,12,13,8,15,8,5,12,17,12,11,10,11,11,5,13
Up to 15 seconds,17,18,14,14,16,23,17,17,17,17,13,21,29,21,10,19,12,13,14,17,20,20
Up to 30 seconds,26,28,22,28,26,22,25,25,28,24,28,28,24,21,30,27,26,22,26,26,32,27
Up to 45 seconds,4,4,5,6,4,4,5,5,4,4,5,3,5,1,4,5,4,7,2,4,6,2
Up to 60 seconds,11,11,11,17,19,13,8,8,8,16,0,13,15,8,9,4,20,11,14,11,10,10
Don't know,9,7,13,12,7,9,9,9,8,10,4,9,9,7,8,12,8,8,11,9,7,11
No VAR decisions if play continues,11,11,10,10,13,11,10,10,12,8,20,10,6,12,7,9,9,17,12,11,2,13
No time limit,11,9,15,7,7,6,13,15,10,12,14,9,7,18,15,12,9,12,11,11,18,4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
